title,authors,editor
A Characterization of Multioutput Learnability,"[{'name': 'Vinod Raman', 'affiliation': ['Department of Statistics', 'University of Michigan', 'Ann-Arbor, MI 48109, USA']}, {'name': 'Unique Subedi', 'affiliation': ['Department of Statistics', 'University of Michigan', 'Ann-Arbor, MI 48109, USA']}, {'name': 'Ambuj Tewari', 'affiliation': ['Department of Statistics', 'Department of Electrical Engineering and Computer Science', 'University of Michigan', 'Ann-Arbor, MI 48109, USA']}]", Gergely Neu
A Comparison of Continuous-Time Approximations to Stochastic Gradient Descent,"[{'name': 'Stefan Ankirchner', 'affiliation': ['Institute for Mathematics', 'Friedrich-Schiller-University Jena', '07737 Jena, Germany']}, {'name': 'Stefan Perko', 'affiliation': ['Institute for Mathematics', 'Friedrich-Schiller-University Jena', '07737 Jena, Germany']}]", Stephan Mandt
A Data-Adaptive RKHS Prior for Bayesian Learning of Kernels in Operators,"[{'name': 'Neil K. Chada', 'affiliation': ['Department of Mathematics, City University of Hong Kong, B5431, Hong Kong SAR']}, {'name': 'Quanjun Lang', 'affiliation': ['Department of Mathematics, Duke University, Durham, NC 27707, USA']}, {'name': 'Fei Lu', 'affiliation': ['Department of Mathematics, Johns Hopkins University, Baltimore, MD 21218, USA']}, {'name': 'Xiong Wang', 'affiliation': ['Department of Mathematics, Johns Hopkins University, Baltimore, MD 21218, USA']}]", Silvia Villa
A Framework for Improving the Reliability of Black-box Variational Inference,"[{'name': 'Manushi Welandawe', 'affiliation': ['Department of Mathematics & Statistics', 'Boston University, USA']}, {'name': 'Michael Riis Andersen', 'affiliation': ['DTU Compute', 'Technical University of Denmark, Denmark']}, {'name': 'Aki Vehtari', 'affiliation': ['Department of Computer Science', 'Aalto University, Finland']}, {'name': 'Jonathan H. Huggins', 'affiliation': ['Department of Mathematics & Statistics', 'Faculty of Computing & Data Sciences', 'Boston University, USA']}]", Justin Domke
A General Framework for the Analysis of Kernel-based Tests,"[{'name': 'Tamara Fern´andez', 'affiliation': ['Faculty of Engineering and Science', 'Universidad Adolfo Ib´a˜nez, Chile']}, {'name': 'Nicol´as Rivera', 'affiliation': ['Facultad de Ciencias', 'Universidad de Valpara´ıso, Chile']}]", Isabelle Guyon
A Kernel Test for Causal Association via Noise Contrastive Backdoor Adjustment,"[{'name': 'Robert Hu', 'affiliation': ['Amazon']}, {'name': 'Dino Sejdinovic', 'affiliation': ['School of Computer and Mathematical Sciences', 'University of Adelaide', 'Adelaide 5005, Australia']}, {'name': 'Robin J. Evans', 'affiliation': ['Department of Statistics', 'University of Oxford', 'Oxford OX1 3LB, UK']}]", Silvia Chiappa
A Multilabel Classification Framework for Approximate Nearest Neighbor Search,"[{'name': 'Ville Hyv¨onen', 'affiliation': ['Department of Computer Science', 'Aalto University']}, {'name': 'Elias J¨a¨asaari', 'affiliation': ['Machine Learning Department', 'Carnegie Mellon University']}, {'name': 'Teemu Roos', 'affiliation': ['Department of Computer Science', 'University of Helsinki']}]", Sanjiv Kumar
A New  Physics-Informed Continuous-Time Reinforcement Learning Algorithm with Performance Guarantees,"[{'name': 'Brent A. Wallace', 'affiliation': ['Department of Electrical Engineering', 'Arizona State University', 'Tempe, AZ 85287, USA']}, {'name': 'Jennie Si', 'affiliation': ['Department of Electrical Engineering', 'Arizona State University', 'Tempe, AZ 85287, USA']}]", George Konidaris
A Note on Entrywise Consistency for Mixed-data Matrix Completion,"[{'name': 'Yunxiao Chen', 'affiliation': ['Department of Statistics', 'London School of Economics and Political Science', 'London WC2A 2AE, UK']}, {'name': 'Xiaoou Li', 'affiliation': ['School of Statistics', 'University of Minnesota', 'Minneapolis, MN 55455']}]", Ali Shojaie
A PDE-based Explanation of Extreme Numerical Sensitivities and Edge of Stability in Training Neural Networks,"[{'name': 'Yuxin Sun', 'affiliation': ['Georgia Institute of Technology', 'Atlanta, GA 30332, USA']}, {'name': 'Dong Lao', 'affiliation': ['University of California', 'Los Angeles, CA 90095, USA']}, {'name': 'Anthony Yezzi', 'affiliation': ['Georgia Institute of Technology', 'Atlanta, GA 30332, USA']}, {'name': 'Ganesh Sundaramoorthi', 'affiliation': ['Raytheon Technologies', 'East Hartford, CT 06108, USA']}]", Francesco Orabona
A Rainbow in Deep Network Black Boxes,"[{'name': 'Florentin Guth', 'affiliation': ['Center for Data Science, New York University, 60 5th Avenue, New York, NY 10011, USA', 'Flatiron Institute, 162 5th Avenue, New York, NY 10010, USA']}, {'name': 'Brice Ménard', 'affiliation': ['Department of Physics & Astronomy, Johns Hopkins University', 'Baltimore, MD 21218, USA']}, {'name': 'Gaspar Rochette', 'affiliation': ['Département d’informatique, École Normale Supérieure, CNRS, PSL University', '45 rue d’Ulm, 75005 Paris, France']}, {'name': 'Stéphane Mallat', 'affiliation': ['Collège de France, 11, place Marcelin-Berthelot 75231 Paris, France', 'Flatiron Institute, 162 5th Avenue, New York, NY 10010, USA']}]", Lorenzo Rosasco
A Random Projection Approach to Personalized Federated Learning  Enhancing Communication Efficiency  Robustness  and Fairness,"[{'name': 'Yuze Han', 'affiliation': ['Center for Applied Statistics and School of Statistics', 'Renmin University of China', 'Beijing, China']}, {'name': 'Xiang Li', 'affiliation': ['School of Mathematical Sciences', 'Peking University', 'Beijing, China']}, {'name': 'Shiyun Lin', 'affiliation': ['School of Mathematical Sciences', 'Peking University', 'Beijing, China']}, {'name': 'Zhihua Zhang', 'affiliation': ['Schools of Mathematical Sciences and of Computer Science', 'Peking University', 'Beijing, China']}]", Martin Jaggi
A Semi-parametric Estimation of Personalized Dose-response Function Using Instrumental Variables,"[{'name': 'Wei Luo', 'affiliation': ['Center for Data Science', 'Zhejiang University', 'Hangzhou, P.R.China']}, {'name': 'Yeying Zhu', 'affiliation': ['Department of Statistics and Actuarial Science', 'University of Waterloo', 'Waterloo, ON N2L 3G1, Canada']}, {'name': 'Xuekui Zhang', 'affiliation': ['Department of Mathematics and Statistics', 'University of Victoria', 'Victoria, BC V8P 5C2, Canada']}, {'name': 'Lin Lin', 'affiliation': ['Department of Biostatistics and Bioinformatics', 'Duke University', 'Durham, NC 27710, USA']}]", Ilya Shpitser
A Statistical Experimental Design Method for Constructing Deterministic Sensing Matrices for Compressed Sensing,"[{'name': 'Youran Qi', 'affiliation': ['Department of Statistics', 'University of Wisconsin-Madison', 'Madison, WI 53706, USA']}, {'name': 'Xu He', 'affiliation': ['Academy of Mathematics and Systems Science', 'Chinese Academy of Sciences', 'Beijing, 100190, China']}, {'name': 'Tzu-Hsiang Hung', 'affiliation': ['Department of Statistics', 'University of Wisconsin-Madison', 'Madison, WI 53706, USA']}, {'name': 'Peter Chien', 'affiliation': ['Department of Statistics', 'University of Wisconsin-Madison', 'Madison, WI 53706, USA']}]", Ji Zhu
A Survey on Multi-player Bandits,"[{'name': 'Etienne Boursier', 'affiliation': ['INRIA, Universit´e Paris Saclay, LMO, Orsay, France']}, {'name': 'Vianney Perchet', 'affiliation': ['CREST, ENSAE Paris, Palaiseau, France', 'CRITEO AI Lab, Paris, France']}]", Alexandre Proutiere
A Variational Approach to Bayesian Phylogenetic Inference,"[{'name': 'Cheng Zhang', 'affiliation': ['School of Mathematical Sciences and Center for Statistical Science', 'Peking University', 'Beijing, 100871, China']}, {'name': 'Frederick A. Matsen IV', 'affiliation': ['Howard Hughes Medical Institute', 'Computational Biology Program', 'Fred Hutchinson Cancer Research Center', 'Seattle, WA 98109, USA', 'Department of Genome Sciences and Department of Statistics', 'University of Washington', 'Seattle, WA 98195, USA']}]", Chris Wiggins
A flexible empirical Bayes approach to multiple linear regression and connections with penalized regression,"[{'name': 'Youngseok Kim', 'affiliation': ['Department of Statistics', 'University of Chicago', 'Chicago, IL 60637, USA']}, {'name': 'Wei Wang', 'affiliation': ['Department of Statistics', 'University of Chicago', 'Chicago, IL 60637, USA']}, {'name': 'Peter Carbonetto', 'affiliation': ['Research Computing Center and Department of Human Genetics', 'University of Chicago', 'Chicago, IL 60637, USA']}, {'name': 'Matthew Stephens', 'affiliation': ['Department of Statistics and Department of Human Genetics', 'University of Chicago', 'Chicago, IL 60637, USA']}]", Boaz Nadler
A minimax optimal approach to high-dimensional double sparse linear regression,"[{'name': 'Yanhang Zhang', 'affiliation': ['School of Statistics, Renmin University of China', '100872 Beijing, China']}, {'name': 'Zhifan Li', 'affiliation': ['Beijing Institute of Mathematical Sciences and Applications', '101408 Beijing, China']}, {'name': 'Shixiang Liu', 'affiliation': ['School of Statistics, Renmin University of China', '100872 Beijing, China']}, {'name': 'Jianxin Yin', 'affiliation': ['Center for Applied Statistics and School of Statistics, Renmin University of China', '100872 Beijing, China']}]", Daniel Hsu
A projected semismooth Newton method for a class of nonconvex composite programs with strong prox-regularity,"[{'name': 'Jiang Hu', 'affiliation': ['Massachusetts General Hospital and Harvard Medical School', 'Harvard University', 'Boston, MA 02114, USA']}, {'name': 'Kangkang Deng', 'affiliation': ['Beijing International Center for Mathematical Research', 'Peking University', 'Beijing, 100871, China']}, {'name': 'Jiayuan Wu', 'affiliation': ['College of Engineering', 'Peking University', 'Beijing, 100871, China']}, {'name': 'Quanzheng Li', 'affiliation': ['Massachusetts General Hospital and Harvard Medical School', 'Harvard University', 'Boston, MA 02114, USA']}]", Animashree Anandkumar
